order_year,order_month,revenue
2015,1,1051590.08
2015,2,927009.9
2015,3,1051253.69
2015,4,1014463.28
2015,5,1050478.44
2015,6,1024006.17
2015,7,1038081.19
2015,8,1029494.69
2015,9,1018338.6
2015,10,1049154.27
2015,11,1029120.24
2015,12,1057840.88
2016,1,1046308.25
2016,2,968542.85
2016,3,1025853.12
2016,4,1001211.58
2016,5,1029400.2
2016,6,1003059.55
2016,7,1045715.62
2016,8,1048200.25
2016,9,1002397.04
2016,10,1048130.55
2016,11,1047590.14
2016,12,1037408.17
2017,1,1029698.02
2017,2,992534.9
2017,3,1048004.78
2017,4,1038321.62
2017,5,1105485.32
2017,6,1032086.49
2017,7,1104373.36
2017,8,1109337.17
2017,9,1143775.11
2017,10,1073994.17
2017,11,626914.38
2017,12,503910.82
2018,1,331650.12
