customer_id,total_sales
791,10524.17
9371,9299.03
8766,9296.14
1657,9223.71
2641,9130.92
1288,9019.11
3710,9019.1
4249,8918.85
5654,8904.95
5624,8761.98
5715,8595.13
1464,8409.22
10235,8404.22
664,8394.26
10351,8339.26
2292,8293.04
4663,8279.89
3708,8275.09
12284,8258.62
7200,8229.01
5927,8169.13
5004,8164.7
1443,8150.13
6316,8105.18
12431,8073.15
5897,8061.12
2774,8039.3
1011,8023.96
6950,7951.12
5216,7929.13
9300,7891.21
10591,7889.05
9727,7869.2
9557,7782.25
6375,7740.13
4781,7719.19
2723,7719.08
11017,7692.17
5146,7689.15
9271,7665.25
12285,7659.12
8517,7654.22
7218,7654.13
749,7649.38
10777,7644.25
1492,7627.15
5691,7609.04
5217,7559.19
9737,7539.04
10371,7518.13
341,7516.02
2484,7499.32
9883,7499.09
9494,7495.16
5283,7475.32
1695,7469.26
1920,7457.02
11065,7450.05
9962,7419.23
5053,7411.32
773,7394.19
11431,7384.19
7631,7369.2
898,7369.16
11888,7344.14
450,7331.09
9821,7328.2
5648,7323.22
1577,7309.33
10744,7284.4
5454,7279.27
6305,7273.23
2444,7267.19
11048,7239.14
11768,7237.06
2970,7231.15
2041,7220.26
468,7211.27
5293,7209.1
7445,7199.31
10291,7195.46
10263,7189.34
9358,7183.28
6615,7179.19
6341,7169.25
3938,7163.23
3957,7149.21
3420,7129.32
4116,7114.26
9580,7109.17
5803,7099.13
7962,7097.1
1540,7094.43
687,7093.08
5582,7081.34
1780,7071.28
11645,7062.3
7670,7049.32
2851,7037.36
11378,7034.16
12226,7032.28
11344,7027.06
9337,7025.28
11654,7021.2
6285,7017.97
467,6992.3
9490,6984.24
7417,6984.18
4812,6984.05
9697,6958.19
5828,6950.13
6050,6940.1
7954,6939.19
3979,6939.13
11656,6937.13
2813,6929.4
6696,6927.01
12180,6924.48
8015,6910.89
3369,6893.28
3554,6892.21
8314,6891.15
154,6889.36
10549,6881.18
3879,6879.43
8018,6849.28
4022,6849.27
9743,6828.29
3199,6828.07
12039,6823.15
2074,6821.15
11426,6814.28
11983,6801.16
10175,6799.16
6049,6789.38
8170,6783.26
5168,6781.14
8964,6779.42
2224,6774.46
5001,6769.47
2595,6769.28
3550,6767.23
7892,6766.21
7358,6754.21
437,6750.27
2740,6749.41
10829,6749.26
1012,6749.06
5563,6744.06
5173,6723.21
4491,6719.38
2113,6713.23
5371,6704.45
1588,6694.19
9515,6689.55
482,6689.26
11503,6686.38
6812,6685.42
5493,6684.06
5072,6679.43
12420,6674.29
3889,6670.26
230,6648.42
1025,6639.55
4539,6632.2
8820,6619.45
9897,6619.4
5867,6619.34
9073,6619.24
6303,6617.26
58,6615.16
7139,6609.28
1599,6605.28
9368,6604.49
6977,6604.47
4627,6604.36
3259,6594.46
172,6591.23
6143,6589.23
5778,6587.31
10111,6585.23
1932,6584.24
7857,6580.47
1844,6579.39
6953,6577.23
10601,6574.12
1537,6567.26
4181,6563.21
7597,6555.33
7717,6549.22
10129,6535.28
1136,6534.23
11132,6533.09
5560,6528.21
11337,6525.33
1148,6524.42
4394,6514.36
11534,6509.44
12406,6507.39
11475,6498.3
5028,6495.15
2197,6493.22
1107,6489.3
10699,6474.44
9760,6474.24
2229,6473.31
1445,6473.27
8861,6469.2
7633,6468.2
6664,6464.99
11985,6464.41
4659,6459.2
4530,6454.28
11887,6453.44
5015,6449.02
7001,6444.22
5875,6429.16
12221,6429.03
7305,6428.39
2220,6427.35
197,6423.33
11733,6420.43
6587,6409.43
1417,6409.25
8522,6399.42
3556,6394.35
11947,6389.41
123,6389.32
2860,6387.28
5583,6384.18
9502,6381.01
7852,6379.47
221,6378.47
6101,6371.33
7926,6369.4
1826,6367.26
938,6364.32
2330,6356.21
7273,6334.16
1948,6319.34
7211,6314.36
685,6313.3
9504,6309.46
5952,6299.49
1747,6299.37
2773,6299.37
10375,6299.14
5054,6293.2
1426,6279.58
6660,6278.09
11218,6277.31
2626,6274.36
4460,6273.41
11738,6269.25
11156,6267.36
11833,6264.24
7460,6263.17
8016,6259.4
2389,6257.14
3303,6251.35
6643,6249.32
11134,6249.11
6137,6245.37
10610,6243.48
9928,6241.1
7789,6239.55
8156,6237.0
